StarID,Distance,AbsMag,Spectrum,ColorIndex,X,Y,Z
203,462.962963,0.852268756,K0III,0.981,445.37445,4.99241,-126.29876
204,395.256917,0.545602606,K3III,1.274,284.55548,3.20389,-274.30993
205,113.1221719,3.272261325,F2,0.384,112.65183,1.26961,-10.22629
206,107.2961373,3.407079562,G0,0.436,101.54359,1.14642,34.64166
207,406.504065,1.364675536,G6/G8III,0.967,154.67181,1.75458,-375.92433
208,636.9426752,-3.150501738,G8III,1.073,258.04587,2.9291,582.32269
209,10000000,-7.8,A2V,0.085,4051086.766,46678.51961,9142566.222
210,130.7189542,3.468307176,G0,0.47,129.27854,1.49409,-19.29428
211,257.7319588,2.464158628,G8,0.832,203.22674,2.35238,-158.49011
212,161.8122977,4.194942375,,0.318,141.41158,1.63751,-78.63396
213,128.2051282,2.160473013,G5,1.003,79.85246,0.92944,100.29594
214,297.6190476,0.801696387,A3,0.29,261.43016,3.05344,142.20423
215,366.3003663,-0.529186765,A0,0.118,44.80767,0.52744,363.5491
216,286.5329513,1.974127135,M2,1.8,73.98021,0.87094,276.81636
217,311.5264798,0.472525162,A0,0.016,228.11399,2.69518,212.14497
218,241.5458937,1.505001706,G8III,1.005,129.29793,1.53404,-204.01987
219,92.76437848,3.723093804,F8,0.602,92.24366,1.11129,9.75199
220,159.4896332,1.506337704,A0,0.18,129.32164,1.56139,93.32961
221,130.2083333,2.1668061,F2,0.483,21.97689,0.2659,128.33999
222,381.6793893,0.941506457,K1III,1.113,288.10942,3.49233,-250.31963
223,800,-0.505449935,K0,1.01,798.1259,9.69921,53.86065
224,46.33920297,3.840257202,G0,0.617,46.30375,0.56283,1.72259
225,138.3125864,3.335691486,F3/F5V,0.489,133.56437,1.63202,-35.89243
226,1587.301587,-0.703297253,F0/F2V,0.254,1439.11658,17.59083,-669.44778
227,114.6788991,4.562582425,,0.442,19.34732,0.23779,113.03483
228,104.9317943,2.535464503,F8,0.532,92.4247,1.14561,49.66933
229,462.962963,-0.057731244,A0,0.128,314.22167,3.91556,339.97663
230,116.0092807,3.117536329,F2,0.423,100.11676,1.25064,58.59371
231,217.8649237,2.889063428,F6/F7IV,0.5,112.91143,1.42568,-186.3172
232,193.0501931,2.001648799,A0V,0.007,166.91991,2.127,-96.96181
233,400,0.479700043,K0,1.18,127.84756,1.63339,379.01495
234,343.6426117,1.959464945,B8,0.31,116.18075,1.48759,323.40387
235,384.6153846,1.24486674,K0,1.222,122.86979,1.57943,364.45783
236,337.8378378,0.446458555,K0,1.26,337.76872,4.34979,-5.27014
237,158.2278481,3.003585391,G8IV,0.903,122.03433,1.57432,-100.70349
238,61.88118812,2.292206782,F6/F7V,0.526,58.12741,0.75004,-21.21136
239,209.6436059,1.952591895,F5,0.521,209.2609,2.71444,12.36722
240,297.6190476,3.441696387,F8,0.565,293.25567,3.80702,50.63312
241,421.9409283,0.63374173,K0,1.01,416.54972,5.46723,67.01182
242,134.9527665,2.10909104,G8IV,0.967,110.88195,1.45571,-76.91112
243,243.3090024,0.889209109,K0III,1.041,119.09087,1.566,-212.16545
244,286.5329513,0.614127135,F8,0.668,219.4933,2.90729,184.16125
245,302.1148036,1.119139969,G5,1.036,299.28188,3.98877,-41.08279
246,54.67468562,6.041068527,K3,0.99,29.98851,0.39973,45.71488
247,164.4736842,3.109517896,F0,0.346,162.75237,2.17466,23.63318
248,110.7419712,2.878438752,F0,0.342,109.58038,1.46461,15.93045
249,75.52870091,4.359439926,F8,0.552,64.13669,0.86668,39.87879
250,192.6782274,1.715836789,K0,0.88,117.37726,1.58637,152.79058
251,10000000,-6.35,K2III,1.349,9042900.521,122388.4483,-4267431.456
252,10000000,-4.7,K0...,1.082,8703955.656,118436.9943,4922106.116
253,147.4926254,0.616148469,K1III,1.176,134.57626,1.83821,-60.33177
254,167.7852349,0.606231299,A2,0.051,123.20106,1.68735,113.88826
255,84.45945946,3.326758512,F2/F3V,0.421,76.79339,1.06496,-35.14315
256,211.4164905,2.904305704,F0,0.461,122.71072,1.70618,172.15138
257,317.4603175,1.361552769,A0V,0.081,271.48196,3.80513,-164.51175
258,159.2356688,0.579798219,K0,1.122,151.8069,2.13388,48.02195
259,1851.851852,-2.688031201,M0,1.455,1221.56194,17.18323,1391.7063
260,163.9344262,3.566649175,F2V,0.432,93.06768,1.32732,-134.94865
261,121.8026797,3.721715786,F3V,0.424,111.59092,1.59814,-48.79347
262,232.0185615,2.212386351,F0V,0.422,194.90612,2.80934,125.84245
263,30.3674461,9.627958654,M1,1.473,30.26272,0.43802,2.48146
264,271.00271,1.255131831,K0,1.174,212.81809,3.09087,167.7539
265,295.8579882,0.734583501,K1IIICN...,1.125,289.4207,4.21998,-61.23556
266,943.3962264,-0.813470674,K5III:,1.688,406.45477,5.92667,-851.32592
267,85.76329331,3.423492752,F2,0.455,85.52979,1.24717,-6.20013
268,4166.666667,-4.918943791,K5,1.462,2140.85862,31.45635,3574.47142
269,261.7801047,1.680316815,G5,1.125,239.90523,3.52603,104.69894
270,212.7659574,0.72048929,A2,0.146,61.58002,0.91368,203.65759
271,207.9002079,2.570725382,A2III,0.232,168.25041,2.50436,-122.09841
272,719.4244604,-0.464925999,G8/K0III,0.979,644.24033,9.62023,-320.05217
273,537.6344086,2.487564721,A0V,0.041,367.78305,5.50068,-392.11748
274,1075.268817,-3.917585257,B3Ia,0.332,477.36759,7.14202,963.46883
275,176.056338,3.211741679,F3V,0.439,153.96417,2.3049,-85.35545
276,64.30868167,3.448651967,G0,0.636,60.16393,0.90092,22.69571
277,63.13131313,2.958775886,F2V,0.353,50.90539,0.76349,-37.33122
278,358.4229391,0.168021016,B2IVne+...,-0.023,202.72748,3.05417,295.56597
279,1234.567901,-1.767574906,B8V,0.12,572.71091,8.63468,1093.65696
280,207.0393375,1.569735654,A2,0.134,123.68097,1.87009,166.02652
281,347.2222222,0.746962439,M0,1.655,198.83751,3.04092,284.63602
282,617.2839506,-1.032424927,K0,1.408,582.234,8.90685,204.85045
283,200.4008016,0.940502728,A5,0.353,195.73533,2.99679,42.88564
284,473.9336493,0.631412276,G8III,0.956,194.04551,2.97492,-432.37783
285,724.6376812,-0.750604568,K1IV/VCN...,1.212,589.11748,9.05583,-421.8511
286,9090.909091,-5.563036574,K0,1.006,1778.34749,27.356,8915.2319
287,840.3361345,-0.462265193,K5,1.538,817.94436,12.6466,-192.28079
288,182.1493625,1.597861722,K0,1.071,134.59535,2.08798,122.71153
289,287.3563218,1.38789622,K0III,1.011,177.6457,2.79799,-225.84912
290,65.53079948,3.697772668,F8/G0V,0.563,56.1084,0.88545,-33.84299
291,684.9315068,-0.968235721,Ap...,-0.123,602.3265,9.50988,-325.95017
292,342.4657534,0.436914257,A0,-0.019,115.39511,1.83031,322.43357
293,76.10350076,3.882976826,F6V,0.488,41.26031,0.65962,-63.94446
294,115.8748552,2.570053979,F0,0.401,115.59074,1.85046,7.89539
295,353.3568905,1.928932178,F0V,0.397,266.25938,4.26949,-232.26881
296,39.54132068,5.254744147,G8V,0.78,34.77932,0.55976,-18.80428
297,155.7632399,0.83767514,A2,0.06,103.32675,1.66728,116.54607
298,355.8718861,0.4235316,K0,1.015,346.18831,5.60127,82.26222
299,103.4126163,3.36713237,F5V,0.508,45.97371,0.74931,-92.62842
300,69.88120196,0.328198169,B9IVn,-0.047,66.69789,1.08839,-20.82279
301,165.5629139,1.355184693,A3,0.244,122.9754,2.00679,110.83366
302,302.1148036,-1.090860031,M4,1.629,119.4241,2.01181,277.50169
303,194.1747573,1.709036145,Am...,0.316,104.66272,1.77054,163.54331
304,162.3376623,2.217903561,A2,0.136,150.17909,2.54219,61.58972
305,48.92367906,4.212404457,G5IV,0.741,43.03198,0.73013,-23.2646
306,69.63788301,4.3757722,G2V,0.616,37.07178,0.63074,-58.94675
307,61.462815,7.606937765,M0,1.26,45.26537,0.77407,-41.57071
308,71.94244604,2.805074001,F0,0.303,69.67855,1.19621,17.86571
309,217.8649237,1.849063428,A7V,0.23,153.25315,2.63734,-154.82777
310,81.69934641,5.018907089,G5V,0.7,59.5557,1.02645,-55.91821
311,157.2327044,2.457285578,F0,0.456,125.60213,2.16517,94.5597
312,10000000,-6.41,B0Ibp,0.36,4831546.639,83457.51987,8754952.422
313,94.16195857,3.140622584,F3/F5V,0.406,62.8442,1.08718,-70.11347
314,179.2114695,2.023170995,G0,0.54,167.33496,2.89667,64.08877
315,149.9250375,3.74062917,F8V,0.657,48.11365,0.83328,-141.9926
316,182.4817518,0.953902792,F0,0.355,178.36971,3.11655,38.39428
317,180.8318264,1.623625657,F0III/IV,0.314,30.16781,0.52791,-178.29686
318,483.0917874,1.029851727,G8/K0IV,1.115,377.51511,6.65331,-301.3565
319,833.3333333,-1.41409377,O8e,0.26,388.31204,6.88524,737.29966
320,154.3209877,6.197875029,F1:,,147.5563,2.63039,-45.11301
321,101.2145749,3.903784723,G2/G3V,0.607,91.03931,1.64102,-44.19886
322,254.4529262,0.621962752,G8IV,0.992,138.85642,2.50901,213.2109
323,122.2493888,3.093766518,F5,0.491,116.61255,2.12209,36.63223
324,162.601626,1.324375579,K0,1.003,104.78285,1.90715,124.32298
325,69.06077348,4.363842809,F8,0.615,53.57017,0.97587,43.57378
326,1219.512195,-1.670930738,M0,1.692,1195.82097,21.80929,238.21534
327,490.1960784,1.108150837,A2,0.39,488.30401,8.91691,-42.09358
328,235.8490566,0.226829283,B8V,-0.085,203.9388,3.73612,-118.40516
329,108.6956522,4.648939137,G5,0.699,106.97944,1.96328,-19.13869
330,1123.595506,-4.353049967,A1III,0.274,522.4197,9.63814,994.71182
331,531.9148936,2.170789246,Gp,0.882,474.05923,8.76728,-241.09008
332,151.9756839,2.501129468,F6V,0.563,125.35373,2.32119,-85.89331
333,180.5054152,2.767548824,A1/A2IV/V,0.16,172.19247,3.19517,-54.05318
334,14285.71429,-6.21,B0,0.08,7108.13248,131.9978,12391.07185
335,179.5332136,2.609275976,A0,0.253,174.10811,3.23974,43.68113
336,680.2721088,-1.573413326,K5,1.68,285.79891,5.32079,617.30123
337,84.24599832,4.972253595,G5,0.75,75.76136,1.41137,-36.81862
338,10000000,-4.34,B,1.45,4010927.274,74727.21259,9160069.773
339,242.7184466,1.62448608,A1V,0.037,123.84133,2.31022,-208.73483
340,67.06908115,3.977388217,F6V,0.484,48.24647,0.90433,-46.58026
341,1724.137931,-1.742860032,G8IV,1.069,1583.79572,29.78818,-680.70212
342,126.2626263,4.093625908,G0V,0.549,118.19259,2.22604,-44.35997
343,88.57395926,1.04346971,K0III,1.084,84.89861,1.60395,-25.19918
344,146.627566,4.828921873,M5e-M7e,1.5,112.12209,2.12084,94.46576
345,129.0322581,0.826508513,A1V,0.006,112.53923,2.13055,-63.08489
346,189.7533207,2.409053076,K1III,1.031,111.75644,2.12204,-153.33726
347,406.504065,-0.255324464,B3V,-0.089,237.31533,4.50986,330.01007
348,59.55926147,4.725253481,G5,0.64,58.0323,1.10292,13.35441
349,243.902439,0.833919284,B8/B9V,-0.058,212.49081,4.06294,-119.66429
350,47.30368969,6.995524915,,1.1,25.53476,0.48998,-39.81676
351,44.40497336,6.562841931,K0V,0.855,30.23988,0.58202,-32.51172
352,76.98229407,5.988045755,,0.8,40.70835,0.78882,65.33361
353,174.8251748,5.416980144,,0.971,124.5266,2.41501,-122.68306
354,332.2259136,1.612832478,K0,1.001,205.27827,4.0252,261.18707
355,492.6108374,-3.47251981,K3Ibvar,1.619,484.25369,9.51383,-89.85145
356,101.1122346,3.405981458,G0,0.611,100.34662,1.97178,-12.26176
