StarID,Distance,AbsMag,Spectrum,ColorIndex,X,Y,Z
485,161.8122977,3.324942375,F6V,0.507,97.75473,2.48647,-128.92264
486,89.20606601,4.688028063,G0,0.617,17.41526,0.4446,87.48847
487,126.2626263,4.483625908,G5/G6V,0.646,46.15518,1.17844,-117.51834
488,75.58578987,5.987799221,,0.782,75.4731,1.93166,3.64573
489,40.24144869,4.486631965,G0V,0.595,30.01122,0.76942,-26.79755
490,342.4657534,1.236914257,K0,1.19,334.20239,8.57611,74.28327
491,38.1097561,4.544819154,F8,0.596,36.18379,0.93392,11.92535
492,153.8461538,3.634566783,G0,0.51,148.9413,3.84432,-38.34509
493,76.98229407,4.558045755,F8V,0.585,27.81484,0.7185,-71.77807
494,38.8048118,5.635572093,K0...,0.92,36.87725,0.95375,12.04043
495,188.3239171,0.525472605,K5,1.564,171.21561,4.44243,78.30311
496,141.8439716,1.790945585,A3,0.3,91.85878,2.38565,108.05546
497,234.741784,1.077047996,A3,0.239,166.68422,4.34384,165.23076
498,1149.425287,-0.592403737,G8IV/V,0.915,664.95022,17.36188,-937.39973
